# Generated from Google Mozc dictionary_oss. Do not edit manually.
10がつ	10月	十月
11がつ	11月	十一月
12がつ	12月	十二月
1かげつご	1ヶ月後
1がつ	1月	一月
1しゅうかんご	1週間後
1じかんご	1時間後
1じかんはん	1時間半
1ねんご	1年後	一年後
1ねんはん	1年半
1めいさま	1名様
2がつ	2月	二月
2しゅうかんご	2週間後
2ねんご	2年後
3がつ	3月	三月
3がつまつ	3月末
3っかかん	3日間	三日間
3っかご	3日後
3ねんご	3年後
4かかん	4日間
4がつ	4月	四月
5がつ	5月	五月
5ねんご	5年後
6がつ	6月	六月
7かかん	7日間
7がつ	7月	七月
8がつ	8月	八月
9がつ	9月	九月
9がつまつ	9月末
FCとうきょう	FC東京
jrにしにほん	JR西日本
jrひがしにほん	JR東日本
あ	亜
ああ	嗚呼
あい	合い	相	会い
あいいれない	相容れない
あいいれなかっ	相容れなかっ
あいおい	相生
あいか	愛佳
あいかみれ	愛華みれ
あいかわ	相川	愛川	哀川
あいかわらず	相変わらず
あいくるし	愛くるし
あいくるしい	愛くるしい
あいくるしく	愛くるしく
あいくるしさ	愛くるしさ
あいくるしゅう	愛くるしゅう
あいけん	愛犬
あいこ	愛子	愛顧	藍子
あいこう	愛好
あいこうだいめいでん	愛工大名電
あいさ	愛さ
あいさい	愛西
あいさつ	挨拶
あいざわ	相澤	相沢
あいし	愛し
あいしあい	愛し合い
あいしあう	愛し合う
あいしあえ	愛し合え
あいしあお	愛し合お
あいしあおう	愛し合おう
あいしあっ	愛し合っ
あいしかた	愛し方
あいしてる	愛してる
あいしゃ	愛しゃ	愛車
あいしょう	相性
あいしよ	愛しよ
あいしよう	愛しよう
あいしろ	愛しろ
あいじょう	愛情
あいじょうぶかい	愛情深い
あいす	愛す
あいすりゃ	愛すりゃ
あいする	愛する
あいすれ	愛すれ
あいず	会津	合図
あいせ	愛せ
あいせよ	愛せよ
あいせりゃ	愛せりゃ
あいせる	愛せる
あいせん	愛せん
あいそ	愛そ
あいそう	合いそう	愛そう	合いそう
あいだ	間	相田	間
あいだをおい	間を置い
あいだをおか	間を置か
あいち	愛知
あいちがくいんだいがく	愛知学院大学
あいちきょういくだいがく	愛知教育大学
あいちけん	愛知県
あいちけんけい	愛知県警
あいちけんない	愛知県内
あいちけんみん	愛知県民
あいちだいがく	愛知大学
あいちばんぱく	愛知万博
あいちゃく	愛着
あいちゃん	愛ちゃん
あいつい	相次い
あいつぎ	相次ぎ
あいつぐ	相次ぐ
あいづ	会津
あいづきひかる	愛月ひかる
あいづわかまつ	会津若松
あいて	相手
あいていれば	空いていれば
あいてる	空いてる	開いてる
あいな	愛菜
あいなん	相なん	愛南
あいにいき	会いに行き
あいにいく	会いに行く	会いにいく
あいにいっ	会いに行っ
あいにき	会いに来	会いにき
あいにくる	会いに来る
あいぬご	アイヌ語
あいぬぶんか	アイヌ文化
あいぬみんぞく	アイヌ民族
あいのさと	あいの里
あいのすけ	愛之助
あいはら	相原
あいば	相葉
あいぼう	相棒
あいま	合間
あいまい	曖昧
あいまって	相まって
あいみつ	靉光
あいやすい	合いやすい	遭いやすい
あいよう	愛用
あいら	愛羅	姶良
あいらし	愛らし
あいらしい	愛らしい
あいらしいすがた	愛らしい姿
あいらしかっ	愛らしかっ
あいらしから	愛らしから
あいらしかれ	愛らしかれ
あいらしかろ	愛らしかろ
あいらしき	愛らしき
あいらしきゃ	愛らしきゃ
あいらしく	愛らしく
あいらしさ	愛らしさ
あいらしゅう	愛らしゅう
あいり	愛理	愛梨	愛莉
あいる	愛瑠
あいるらんどじん	アイルランド人
あいわん	合わん
あう	合う	会う	遭う
あえ	合え	会え	遭え
あええ	青え
あえぎ	喘ぎ
あえぐ	喘ぐ
あえげ	喘げ
あえて	敢えて
あえよ	会えよ	合えよ
あえりゃ	合えりゃ	会えりゃ	逢えりゃ
あえる	会える	合える	和える
あえれ	合えれ	会えれ	和えれ
あえん	会えん	合えん
あお	合お	会お	青
あおあお	青々
あおあおしき	青々しき
あおい	青い	蒼	葵
あおいうみ	青い海
あおいえいる	藍井エイル
あおいそら	青い空
あおいとり	青い鳥
あおいひかり	青い光
あおいぶぶん	青い部分
あおいめ	青い目
あおいろ	青色
あおう	会おう	逢おう	遭おう
あおかっ	青かっ
あおから	青から	蒼から
あおかれ	青かれ
あおかろ	青かろ
あおが	仰が
あおがくだい	青学大
あおき	蒼き	青き	碧き
あおきゃ	青きゃ
あおきりゅうせいえすぴーてぃーれいずなー	蒼き流星SPTレイズナー
あおぎ	仰ぎ	仰
あおぎみよ	仰ぎ見よ
あおぎゃ	仰ぎゃ
あおく	青く	蒼く
あおくさ	青臭
あおくさい	青臭い
あおくさかろ	青臭かろ
あおくささ	青臭さ
あおぐ	仰ぐ
あおぐろき	黝き
あおけりゃ	青けりゃ
あおけれ	青けれ
あおげ	仰げ
あおげよ	仰げよ
あおご	仰ご
あおごう	仰ごう
あおさ	青さ
あおし	青し	蒼し
あおしま	青島
あおじま	青島
あおじる	青汁
あおじろい	青白い
あおじろき	青白き	蒼白き
あおじろく	青白く
あおぞら	青空
あおぞらぎんこう	あおぞら銀行
あおっ	青っ	煽っ
あおっぽい	青っぽい
あおっぽく	青っぽく
あおの	青野
あおば	青葉
あおばだい	青葉台
あおみがかっ	青みがかっ
あおむけ	仰向け
あおもり	青森
あおもりえき	青森駅
あおもりくうこう	青森空港
あおもりけん	青森県
あおもりけんない	青森県内
あおもりし	青森市
あおもりしない	青森市内
あおもりやまだ	青森山田
あおやぎ	青柳
あおやま	青山
あおやまがくいん	青山学院
あおやまがくいんだい	青山学院大
あおやまがくいんだいがく	青山学院大学
あおやまどおり	青山通り
あおら	煽ら
あおり	煽り
あおる	煽る
あおれ	煽れ
あおろ	煽ろ
あおろう	煽ろう
あおん	煽ん
あか	開か	空か	明か
あかい	赤い	赤井	紅い
あかいいと	赤い糸
あかいいろ	赤い色
あかいくつ	赤い靴
あかいし	明石
あかいせん	赤い線
あかいはな	赤い花
あかいひかり	赤い光
あかいぶぶん	赤い部分
あかいみ	赤い実
あかいらいん	赤いライン
あかいわ	赤磐
あかえ	赤江
あかお	赤尾
あかかっ	赤かっ
あかかべ	赤壁
あかから	明から	朱から
あかかれ	明かれ	赤かれ
あかかろ	赤かろ
あかき	赤き	紅き	朱き
あかきゃ	赤きゃ	明きゃ
あかぎ	赤城	赤木	赤城
あかぎにゅうぎょう	赤城乳業
あかぎやま	赤城山
あかく	赤く	紅く	明く
あかぐろい	赤黒い
あかぐろき	赤黒き
あかぐろく	赤黒く
あかけりゃ	明けりゃ	赤けりゃ
あかけれ	赤けれ	明けれ
あかさ	明かさ
あかさか	赤坂
あかさかえき	赤坂駅
あかさかみつけ	赤坂見附
あかざか	赤坂
あかし	明し	赤し	明かし
あかしかいきょう	明石海峡
あかしかいきょうおおはし	明石海峡大橋
あかしし	明石市
あかししょてん	明石書店
あかしや	明石家
あかじ	赤字
あかす	明かす
あかずきん	赤ずきん
あかせ	明かせ
あかせない	明かせない
あかそ	明かそ	赤楚
あかそう	明かそう
あかだま	赤玉
あかちゃん	赤ちゃん
あかちゃんほんぽ	赤ちゃん本舗
あかっ	赤っ	明っ	紅っ
あかっぽく	赤っぽく
あかつか	赤塚
あかつき	暁
あかつきちせい	暁千星
あかにし	赤西
あかぬけ	垢抜け
あかね	茜	朱音
あかばね	赤羽
あかひげ	赤ひげ
あかびら	赤平
あかふく	赤福
あかほ	赤穂
あかほし	赤星
あかまつ	赤松
あかまん	赤まん
あかみがかっ	赤みがかっ
あかみち	赤道
あかり	明	明里	朱里
あかる	明る	耀
あかるい	明るい
あかるいいろ	明るい色
あかるいいんしょう	明るい印象
あかるいえがお	明るい笑顔
あかるいからー	明るいカラー
あかるいきもち	明るい気持ち
あかるいせいかく	明るい性格
あかるいばしょ	明るい場所
あかるいひかげ	明るい日陰
あかるいひかり	明るい光
あかるいひと	明るい人
あかるいひょうじょう	明るい表情
あかるいふんいき	明るい雰囲気
あかるいぶぶん	明るい部分
あかるいみらい	明るい未来
あかるいれんず	明るいレンズ
あかるう	明るう
あかるかっ	明るかっ
あかるから	明るから
あかるかろ	明るかろ
あかるき	明るき
あかるきゃ	明るきゃ
あかるく	明るく
あかるけりゃ	明るけりゃ
あかるけれ	明るけれ
あかるさ	明るさ
あかるし	明るし
あかるそう	明るそう
あかるっ	明るっ
あかるみにでれ	明るみに出れ
あかるめ	明るめ
あかん	阿寒
あかんこ	阿寒湖
あがい	足掻い
あがき	足掻き
あがく	足掻く
あがけ	足掻け
あがこ	足掻こ
あがこう	足掻こう
あがた	縣	懸
あがたもりお	あがた森魚
あがっ	上がっ	挙がっ	上っ
あがない	贖い
あがなえ	贖え	購え
あがなお	贖お
あがなおう	贖おう
あがなわ	贖わ
あがの	上野
あがのがわ	阿賀野川
あがめ	崇め
あがめたたえよ	崇め讃えよ
あがめたてまつれ	崇め奉れ
あがめよ	崇めよ
あがめりゃ	崇めりゃ
あがめる	崇める
あがめろ	崇めろ
あがら	上がら
あがり	上がり	上り	挙がり
あがりそう	上がりそう
あがりゃ	上がりゃ
あがりやすい	上がりやすい
あがりやすく	上がりやすく
あがりやま	東山
あがる	上がる	挙がる	上る
あがれ	上がれ	上れ	和了れ
あがれよ	上がれよ
あがれりゃ	上がれりゃ
あがれる	上がれる
あがれれ	上がれれ
あがれん	上がれん
あがろ	上がろ	上ろ
あがろう	上がろう	上ろう
あがん	上がん	上ん
あき	秋	空き	飽き
あきあきし	飽き飽きし
あきあきしろ	飽き飽きしろ
あきあきすれ	飽き飽きすれ
あきえ	昭恵
あきお	明夫	昭夫
あきか	秋華
あきこ	亜希子	明子	晶子
あきしののみや	秋篠宮
あきしま	昭島
あきじかん	空き時間
あきじょうきょう	空き状況
あきた	秋田
あきたいぬ	秋田犬
あきたえき	秋田駅
あきたかた	安芸高田
あきたけじょう	あき竹城
あきたけん	秋田県	秋田犬
あきたけんない	秋田県内
あきたし	秋田市
あきたしない	秋田市内
あきたしょてん	秋田書店
あきたしんかんせん	秋田新幹線
あきただいがく	秋田大学
あきたびじん	秋田美人
あきたべん	秋田弁
あきっぽい	飽きっぽい
あきつ	秋津
あきづき	秋月
あきな	明菜
あきない	商い
